id,category,tags,text
1,feature_definition,"incident_duration_seconds,time,burst","incident_duration_seconds measures how long an activity cluster stayed active. Short, dense incidents can reflect scripted enumeration or fast privilege abuse, while long incidents can indicate persistence or automation loops."
2,feature_definition,"event_count,volume,burst","event_count is the number of CloudTrail events inside an incident. High counts in a short interval often indicate automated activity rather than normal console use."
3,feature_definition,"distinct_event_names,diversity,recon","distinct_event_names captures how many different APIs appeared in the incident. High diversity can indicate broad reconnaissance or multi-step attack behavior."
4,feature_definition,"error_event_count,failures","error_event_count counts failed API calls within the incident. Concentrated failures can indicate guessing, privilege probing, or invalid automation."
5,feature_definition,"success_event_count,outcome","success_event_count counts successful API calls. A transition from failure-heavy behavior to successful sensitive actions can indicate escalating attacker progress."
6,feature_definition,"failure_ratio,errors,heuristic","failure_ratio is the share of incident events that failed. Elevated failure ratios are often consistent with exploratory or unauthorized activity."
7,feature_definition,"events_per_minute,velocity","events_per_minute summarizes how quickly the incident unfolded. High velocity is a useful signal for scripted probing or resource launch bursts."
8,feature_definition,"contains_recon_like_api,recon","contains_recon_like_api flags incidents containing reconnaissance-oriented APIs such as Describe*, List*, or inventory-style calls."
9,feature_definition,"contains_privilege_change_api,privilege","contains_privilege_change_api flags incidents with APIs that can change permissions, trust policy, access keys, or bucket policies."
10,feature_definition,"contains_resource_creation_api,execution","contains_resource_creation_api flags incidents with APIs that create or launch resources, such as RunInstances or Create* operations."
11,feature_definition,"contains_console_login,auth","contains_console_login indicates the incident contains a console login event. In combination with post-login IAM or EC2 changes, this can be high-value review context."
12,feature_definition,"actor_is_root,identity","actor_is_root flags incidents attributed to the AWS root principal. Root usage is rare in healthy environments and deserves disproportionate scrutiny."
13,feature_definition,"actor_is_assumed_role,identity","actor_is_assumed_role flags incidents tied to assumed roles. This can be benign automation or lateral movement depending on surrounding sequence and API mix."
14,feature_definition,"has_high_failure_ratio,rule_feature","has_high_failure_ratio is a derived rule feature indicating that failures dominate the incident and clear a minimum failed-event threshold."
15,feature_definition,"has_failure_burst,rule_feature","has_failure_burst flags incidents dominated by failed API activity with no successful actions. This often looks like probing or broken automation."
16,feature_definition,"has_event_burst,rule_feature","has_event_burst flags short incidents with unusually high event counts. That pattern often corresponds to scripted scans or mass actions."
17,feature_definition,"has_broad_surface_area,rule_feature","has_broad_surface_area flags incidents that touch many distinct API names. Broad API coverage often indicates discovery or attack chaining."
18,feature_definition,"has_iam_sequence,sequence","has_iam_sequence indicates the ordered event source sequence includes IAM activity. IAM involvement matters because it can change trust, identities, or permissions."
19,feature_definition,"has_sts_sequence,sequence","has_sts_sequence indicates the ordered event source sequence includes STS activity such as AssumeRole or caller identity checks."
20,feature_definition,"has_ec2_sequence,sequence","has_ec2_sequence indicates the incident touched EC2 APIs, often relevant for resource launch abuse, discovery, or persistence on compute assets."
21,feature_definition,"has_recon_plus_privilege,compound_rule","has_recon_plus_privilege is a compound rule feature for incidents that include both reconnaissance and privilege-changing APIs."
22,feature_definition,"has_recon_plus_resource_creation,compound_rule","has_recon_plus_resource_creation flags the sequence pattern recon followed by resource creation, a common escalation path in cloud intrusion scenarios."
23,feature_definition,"has_privilege_plus_resource_creation,compound_rule","has_privilege_plus_resource_creation captures incidents that both modify privileges and create resources, which is often higher risk than either signal alone."
24,feature_definition,"has_root_plus_privilege,compound_rule","has_root_plus_privilege flags incidents where the root identity is involved in privilege-changing actions, which should usually be reviewed immediately."
25,feature_definition,"actor_key,identity","actor_key is the canonical actor identifier used to group activity across ARNs, principal IDs, access keys, or source IP fallbacks."
26,feature_definition,"primary_source_ip_address,network","primary_source_ip_address is the most representative source IP for the incident. Repeated suspicious activity from a single source strengthens triage confidence."
27,feature_definition,"first_event_name,sequence","first_event_name captures the incident entry point. Early APIs often tell you whether the flow started with discovery, authentication, or resource control."
28,feature_definition,"last_event_name,sequence","last_event_name captures how the incident ended. Ending on policy edits, launches, or credential actions often changes triage priority."
29,feature_definition,"top_event_name,dominant_behavior","top_event_name is the most common API inside the incident. Dominant repeated calls can indicate the main behavior class of the activity cluster."
